LastName, FirstName, Course
Thompson, Lizabeth T. , Industrial and Manufacturing Engineering
Abercromby, Kira J. , Aerospace Engineering
Abo Ismail, Mohammed  , Animal Science
Adams, Nikki L. , Biological Sciences
Adams, Aubrie S. , Communication Studies
Adan, Elizabeth  , Interdisciplinary Studies in the Liberal Arts, Women's and Gender Studies
Agbo, Samuel O. , Electrical Engineering
Ahlgren, William L. , Electrical Engineering
Aivazpour, Zahra  , Management, HR, and Information Systems
Al-Nakib, Farah  , History
Alaniz, Ryan C. , Social Sciences
Alber, Julia M. , Kinesiology
Alexander, Benjamin  , Management, HR, and Information Systems
Allen, Regulus L. , English
Almeida, Daniel J. , School of Education
Alzraiee, Hani  , Civil and Environmental Engineering
Amin, Samir  , Food Science and Nutrition
Amos, Dave  , City and Regional Planning
Anderson, Bing  , Finance
Anderson, Bradford P. , Accounting
Anderson, Christian  , World Languages and Cultures
Anderson, Paul E. , Computer Science
Appel, Christopher S. , Natural Resources Management and Environmental Sciences
Arakaki, Dean Y. , Electrical Engineering
Arceneaux, Craig  , Political Science
Archer, Graham C. , Architectural Engineering
Arens, Robert M. , Architecture
Arrington, Nancy  , Political Science
Arrivee, David A. , Music
Askay, David A. , Communication Studies
Awwad, Mohamed  , Industrial and Manufacturing Engineering
Ayash, Brian  , Finance
Babin, Nicholas  , Natural Resources Management and Environmental Sciences
Ball, Stephen W. , Philosophy
Baltimore, Craig V. , Architectural Engineering
Barata, Antonio G. , Music
Barlow, Philip L. , Construction Management
Bass, Beverly J. , Landscape Architecture
Bates, G.W.  , BioResource and Agricultural Engineering
Battenburg, John  , English
Battle, Martin  , Political Science
Bean, Timothy W. , Biological Sciences
Beaton, Brian  , History
Bednarek, Ziemowit K. , Finance
Beekman, Matthew  , Physics
Behrouzi, Anahid  , Architectural Engineering
Belanger, Jacques  , Mechanical Engineering
Bellardo, John M. , Computer Engineering, Computer Science
Bencharit, Lucy  , Psychology and Child Development
Bennert, Vardha N. , Physics
Bennett, Penny K. , College of Liberal Arts, Graphic Communication
Bennett, Darin C. , Animal Science
Bennion, Kelly Ann , Psychology and Child Development
Bensky, Thomas J. , Physics
Benson, Bridget G. , Computer Engineering, Electrical Engineering
Berber-Jimenez, Lola  , Liberal Studies
Bergman, Sky  , Art and Design
Bernard, Thomas J. , Theatre and Dance
Berning, Leanne M. , Animal Science
Bettergarcia, Jay  , Psychology and Child Development
Beyramali Kivy, Mohsen  , Materials Engineering
Birdsong, Charles B. , Mechanical Engineering
Black, Michael W. , Biological Sciences
Blank, Jason M. , Biological Sciences
Blau, Jnan A. , Communication Studies
Bockmon, Emily  , Chemistry and Biochemistry
Bodwin, Kelly N. , Statistics
Bohr, Gregory S. , Social Sciences
Bonini, Vincent  , Mathematics
Bordeman, Adam  , Accounting
Borzellino, Joseph E. , Mathematics
Boswell, Michael R. , City and Regional Planning
Brady, Pamalee  , Architectural Engineering
Brammeier, Meredith  , Music
Braun, David B. , Computer Engineering, Electrical Engineering
Bridger, Sarah  , History
Brown, D. Kenneth  , Philosophy
Brown, J. Wyatt  , Horticulture and Crop Science
Brussel, Eric S. , Mathematics
Burd, Matthew A. , Animal Science
Burgunder, Lee B. , Accounting
Burke, Ellen  , Landscape Architecture
Burleson, James  , Management, HR, and Information Systems
Burn, Shawn Meghan , Psychology and Child Development
Bush, Seth  , Chemistry and Biochemistry
Byrne, Andrew M. , School of Education
Cabrinha, Mark  , Architecture
Cacciamani, Laura  , Psychology and Child Development
Cai, Xiaowei  , Agribusiness
Call, Lewis W. , History
Callenes-Sloan, Joseph  , Computer Engineering, Electrical Engineering
Camp, Charles D. , Mathematics
Campbell, Brad  , English
Campbell, Tammy  , Chemistry and Biochemistry
Campos Chillon, Fernando  , Animal Science
Cannon, Karen J. , Agricultural Education and Communication
Caplan, Lana Z , Art and Design
Cardinal, Kristen O'Halloran , Biomedical Engineering
Cardinal, Trevor  , Biomedical Engineering
Carlton, Matthew A. , Statistics
Carr, Chris A. , Accounting
Carrigan, Coleen M. , Social Sciences
Carroll, Jennifer  , Chemistry and Biochemistry
Carter, Amy  , Orfalea College of Business
Casassa, Luis Federico , Wine and Viticulture
Castillo, Alfred  , Management, HR, and Information Systems
Castro, Luis  , Food Science and Nutrition
Cavaletto, Richard A. , College of Agriculture, Food and  Environmental Sciences
Cerf, Douglas C. , Accounting
Chadwell, Charles  , Civil and Environmental Engineering
Chamberlain, David  , Accounting
Champney, Danielle  , Mathematics
Chance, Beth L. , Statistics
Charalampidis, Stathis  , Mathematics
Chen, Sophia  , World Languages and Cultures
Chen, John  , Mechanical Engineering
Chen, Leida  , Management, HR, and Information Systems
Cheuk, Tina  , School of Education
Chiu, Yi-wen  , Natural Resources Management and Environmental Sciences
Choboter, Paul F. , Mathematics
Choudhury, Gour  , Food Science and Nutrition
Christiansen, Jodi  , Physics
Clague, David  , Biomedical Engineering
Clark, Robert D. , Kinesiology
Clay, Gary R. , Landscape Architecture
Cleary, Joseph  , Construction Management
Clement, Sandra L. , Biological Sciences
Clements, John  , Computer Science
Clifford, Dale T. , Architecture
Cobb, Richard  , Natural Resources Management and Environmental Sciences
Cole, Matthew  , Economics
Colvin, Kurt  , Industrial and Manufacturing Engineering
Conway-Silva, Bethany A. , Communication Studies
Costanzo, Philip  , Chemistry and Biochemistry
Costello, Enrica Lovaglio , Art and Design
Costello, Michael J. , Wine and Viticulture
Cravens, R.G.  , Political Science
Crockett, Robert  , College of Engineering, Biomedical Engineering
Crutchfield, Stephen A. , School of Education
D'Avignon, India  , Music
da Silva, Bruno  , Computer Science
Dahm, Patricia  , Management, HR, and Information Systems
Dandekar, Hemalata  , City and Regional Planning
Dang, Li  , Accounting
Daniels, Denise H. , Psychology and Child Development
Danowitz, Andrew R. , Computer Engineering, Electrical Engineering
Dao, Linh  , Art and Design
Davidson, Jean M. , Biological Sciences 
Davis, Steven C. , Kinesiology
Davis, Brennan  , Marketing
Davol, Andrew I. , Mechanical Engineering
Day, Miran  , Landscape Architecture
de la Fuente, Javier  , Industrial Technology and Packaging
De Lay, Ann M. , Agricultural Education and Communication
DeBruhl, Bruce E. , Computer Engineering, Computer Science
Decock, Charlotte L.M. , Natural Resources Management and Environmental Sciences, Horticulture and Crop Science
Deffo, Arnold  , Aerospace Engineering
Deif, Ahmed  , Industrial Technology and Packaging
Deigert, Michael  , Architectural Engineering
Dekhtyar, Alexander  , Computer Science
Del Rio Nascimento, Vicente  , City and Regional Planning
Delbridge, Timothy A. , Agribusiness
Den Hartog, Christopher  , Political Science
Den Otter, Ronald  , Political Science
Denbow, Jennifer  , Political Science
DePiero, Fred  , Electrical Engineering
Derelian, Doris  , Food Science and Nutrition
Derickson, Dennis  , Electrical Engineering
DeTurris, Dianne J. , Aerospace Engineering
Dhillon, Anuraj  , Communication Studies
Dicus, Christopher A. , Natural Resources Management and Environmental Sciences
Dietterick, Brian C. , Natural Resources Management and Environmental Sciences
Dilworth, Kathryn F. , College of Science and Mathematics
Dimitrova, Elena  , Mathematics
Ding, Shunping  , Wine and Viticulture, Horticulture and Crop Science
Disanto, Thomas L. , Architecture
Djassemi, Manocher  , Industrial Technology and Packaging
Dobson, John  , Finance
Dodson Peterson, Jean  , Wine and Viticulture
Doi, Jimmy A. , Statistics
Dolan, Dale S. L. , Electrical Engineering
Donegan, Lorraine D. , Graphic Communication
Dong, Kevin J. , Architectural Engineering
Donig, Deb  , English
Doremus, Jaqueline  , Economics
Drake, Aaron  , Aerospace Engineering
Duffy, Bernard K. , Communication Studies
Durham, Garland B. , Finance
Eagon, Scott C. , Chemistry and Biochemistry
Easton, Robert W. , Mathematics
Echols, Robert  , Physics
Eckhardt, Christian  , Computer Science
Edwards, Mark S. , Animal Science
Edwards, Louise O.V. , Physics
Eisty, Nasir  , Computer Science
El Badawy, Amr  , Civil and Environmental Engineering
Elghandour, Elthary  , Mechanical Engineering
Eller, Dan  , Journalism
Ellis, Allison M. , Management, HR, and Information Systems
Emberley, Richard  , Mechanical Engineering
Emyan, Mariam  , College of Architecture and  Environmental Design
Espinoza-Wade, Eric  , Mechanical Engineering
Esquivel, Ramon  , Theatre and Dance
Estes, Allen C. , Architectural Engineering
Estrada, Aaron R. , Psychology and Child Development
Fagan, Kevin  , World Languages and Cultures
Fang, Dongfeng  , Computer Science
Faruque, Omar  , Landscape Architecture
Faure, Pauline  , Aerospace Engineering
Feng, Yiming  , Food Science and Nutrition
Fernando, Raymond  , Chemistry and Biochemistry
Fernflores, Francisco  , Philosophy
Fernflores, Rachel  , Philosophy
Fernsler, Jonathan  , Physics
Fidopiastis, Pantelis M. , Biological Sciences
Fiegel, Gregg L. , Civil and Environmental Engineering
Fiorenza, Giancarlo  , Art and Design
Firpo, Christina E. , History
Fischer, Stefanie  , Economics
Fisher, Eric  , Economics
Fitzhenry, William  , English
Fleischer, Amy S. , College of Engineering
Flores, Carlos A. , Economics
Floyd, Barry  , Management, HR, and Information Systems
Flushman, Tanya R. , School of Education
Fogle, Emily  , Chemistry and Biochemistry
Folk, Elizabeth  , Art and Design
Forster, Sophia  , English
Fowler, Thomas , IV, FAIA , Architecture
Foxen, Anya P. , Philosophy
Frame, Samuel  , Statistics
Francis, Clinton D. , Biolocial Sciences
Frantz, Sara J. , Art and Design
Frantz, Derik K. , Chemistry and Biochemistry
Freberg, Laura A. , Psychology and Child Development
Freed, Tali  , Industrial and Manufacturing Engineering
Fricker, Geoffrey Andrew , Social Sciences
Frye, Amanda  , Liberal Studies
Funston-Timms, Benjamin F. , Social Sciences
Galanti, Tera  , Art and Design
Galvan-Mandujano, Martha Carolina , World Languages and Cultures
Garcia, Antonio F. , Physics
Garcia, Julie A. , Psychology and Child Development
Garner, Lauren C. , Horticulture and Crop Science
Gaudi, Franklin  , BioResource and Agricultural Engineering
Gearhart, Richard O. , Journalism
Gharibyan, Hasmik  , Computer Science
Ghoddusi, Hamed  , Finance
Giberti, Bruno  , Architecture, Academic Programs and Planning
Gill, Samantha J. , Natural Resources Management and Environmental Sciences, BioResource and Agricultural Engineering
Gillen, Glen D. , Physics
Gillen, Katharina  , Physics
Gillette, David  , English, Liberal Arts and Engineering Studies
Glanz, Hunter S. , Statistics
Glick, Mary M. , Journalism
Glysson, Scott  , Music
Goel, Rakesh K. , College of Engineering, Civil and Environmental Engineering
Goldenberg, Marni  , Experience Industry Management
Goodman, Anya  , Chemistry and Biochemistry
Gopalan, Giri  , Statistics
Gorman, Larry R. , Finance
Gragson, Derek E. , College of Science and Mathematics, Chemistry and Biochemistry
Granger, Brian E. , Physics
Greenbaum, Bruce  , Management, HR, and Information Systems
Greenwood, Jerusha B. , Experience Industry Management
Greenwood, P. Brian  , Experience Industry Management
Greever, Cory J. , Kinesiology
Greve, Adrienne I. , City and Regional Planning
Griffin, Lanny  , Biomedical Engineering
Grossenbacher, Dena L. , Biological Sciences
Grundmeier, Todd A. , Mathematics
